Track : Laid |  Artist : James
Track : She Said |  Artist : Longpigs
Track : Sure Shot |  Artist : Beastie Boys
Track : Hit |  Artist : The Wannadies
Track : Sheela-na-gig |  Artist : PJ Harvey
Track : Your Woman |  Artist : White Town
Track : Movin' on Up |  Artist : Primal Scream
Track : Let Forever Be |  Artist : The Chemical Brothers
Track : only shallow |  Artist : my bloody valentine
Track : Lump |  Artist : The Presidents Of The United States Of America
Track : Nancy Boy |  Artist : Placebo
Track : Novocaine For The Soul |  Artist : Eels
Track : Mrs. Robinson - Remastered |  Artist : The Lemonheads
Track : Popular |  Artist : Nada Surf
Track : Alive |  Artist : Pearl Jam
Track : Song 2 - 2012 Remaster |  Artist : Blur
Track : Cut Your Hair |  Artist : Pavement
Track : Pretend We're Dead |  Artist : L7
Track : If I Can't Change Your Mind |  Artist : Sugar
Track : Motorcycle Emptiness |  Artist : Manic Street Preachers
Track : Down By The Water |  Artist : PJ Harvey
Track : The Riverboat Song |  Artist : Ocean Colour Scene
Track : Cannonball |  Artist : The Breeders
Track : The Day We Caught The Train |  Artist : Ocean Colour Scene
Track : Malibu |  Artist : Hole
Track : No Rain |  Artist : Blind Melon
Track : Where Is My Mind? |  Artist : Pixies
Track : Common People |  Artist : Pulp
Track : Reverend Black Grape |  Artist : Black Grape
Track : Interstate Love Song |  Artist : Stone Temple Pilots
Track : 1979 - Remastered 2012 |  Artist : The Smashing Pumpkins
Track : Karma Police |  Artist : Radiohead
Track : El President |  Artist : Drugstore
Track : Love Spreads |  Artist : The Stone Roses
Track : All You Good Good People |  Artist : Embrace
Track : Sabotage |  Artist : Beastie Boys
Track : Dry The Rain (Remaster) |  Artist : The Beta Band
Track : A Girl Like You |  Artist : Edwyn Collins
Track : Beetlebum - 2012 Remaster |  Artist : Blur
Track : Devils Haircut |  Artist : Beck
Track : She Don't Use Jelly |  Artist : The Flaming Lips
Track : In Bloom |  Artist : Nirvana
Track : Marblehead Johnson |  Artist : The Bluetones
Track : Girl From Mars |  Artist : Ash
Track : Breathe |  Artist : The Prodigy
Track : My Favourite Game |  Artist : The Cardigans
Track : A.M. 180 |  Artist : Grandaddy
Track : Tender |  Artist : Blur
Track : Born Of Frustration |  Artist : James
Track : Every You Every Me |  Artist : Placebo
Track : Grace |  Artist : Jeff Buckley
Track : Kelly's Heroes |  Artist : Black Grape
Track : Ready to Go |  Artist : Republica
Track : Buddy Holly |  Artist : Weezer
Track : One To Another |  Artist : The Charlatans
Track : The Distance |  Artist : Cake
Track : Susan's House |  Artist : Eels
Track : Loaded - Edit |  Artist : Primal Scream
Track : Stupid Girl |  Artist : Garbage
Track : Last Stop: This Town |  Artist : Eels
Track : Loser |  Artist : Beck
Track : Queer |  Artist : Garbage
Track : U-Mass |  Artist : Pixies
Track : Wide Open Space |  Artist : Mansun
Track : Black Hole Sun |  Artist : Soundgarden
Track : Country House - 2012 Remaster |  Artist : Blur
Track : Parklife |  Artist : Blur
Track : Just |  Artist : Radiohead
Track : Celebrity Skin |  Artist : Hole
Track : Frontier Psychiatrist |  Artist : The Avalanches
Track : Bullet With Butterfly Wings |  Artist : The Smashing Pumpkins
Track : Sugar Kane |  Artist : Sonic Youth
Track : The Only One I Know |  Artist : The Charlatans
Track : Rock ‘n’ Roll Star - Remastered |  Artist : Oasis

Track : In Over My Head |  Artist : grandson
Track : Midnight Sky |  Artist : Miley Cyrus
Track : Think I'm Crazy |  Artist : Two Feet
Track : come around |  Artist : Omri
Track : Kill Me Better (feat. Imanbek & Trevor Daniel) - Travis Barker Alt Version |  Artist : Don Diablo
Track : New Friends |  Artist : ENVYYOU
Track : My Friends Are Robots |  Artist : Arrested Youth
Track : basketball |  Artist : diveliner
Track : Fire |  Artist : Diskopunk
Track : People I Don't Like |  Artist : UPSAHL
Track : Feel Alive |  Artist : USS (Ubiquitous Synergy Seeker)
Track : Strange Clouds |  Artist : ufo ufo
Track : All Of The Noise - Big Data Remix |  Artist : Castlecomer
Track : Freefall (feat. Oliver Tree) |  Artist : Whethan
Track : Freak (feat. REI AMI) |  Artist : Sub Urban
Track : Smoke Hole |  Artist : Sad Night Dynamite
Track : Exorcism |  Artist : Kat Von D
Track : PUMP THE BREAK |  Artist : morgxn
Track : The Trend |  Artist : daysormay
Track : Seize the Power |  Artist : YONAKA
Track : Wave |  Artist : Roseburg
Track : ¿ (feat. Halsey) |  Artist : Bring Me The Horizon
Track : Dog Days |  Artist : Argonaut & Wasp
Track : Pirouette |  Artist : Chiiild
Track : peachy |  Artist : Saint Slumber
Track : Someone Else |  Artist : Rezz
Track : Feel You Now |  Artist : THE DRIVER ERA
Track : Sing To Me |  Artist : MISSIO
Track : Last Resort (Reloaded) |  Artist : Papa Roach
Track : Cape Life |  Artist : I Know Where You Live
Track : Float |  Artist : Call Me Karizma
Track : &Run |  Artist : Sir Sly
Track : Go Down Together |  Artist : Foxing
Track : Again |  Artist : Casper The Ghost
Track : Rockstar Everyday |  Artist : Halflives
Track : Overwhelmed |  Artist : Royal & the Serpent
Track : Never Enough |  Artist : Two Feet
Track : Bullets in the Dark (feat. MOD SUN) |  Artist : No Love For The Middle Child
Track : Broken Dreams, Inc. - HEALTH Remix |  Artist : Rise Against
Track : Fooled by a Dream |  Artist : ALESTI
Track : Blues |  Artist : Olive Amun
Track : Fight Me |  Artist : The Well Runs Red
Track : Not Human |  Artist : elegant slims
Track : August |  Artist : Intelligency
Track : Flatline |  Artist : Two Feet
Track : Meant to be |  Artist : idkjack
Track : All In My Head |  Artist : Reece Young
Track : When You Were Young |  Artist : KID BRUNSWICK
Track : Opalite |  Artist : Martin Luke Brown
Track : lost cause// (with grandson) |  Artist : KennyHoopla
Track : Happy Faces |  Artist : No Love For The Middle Child
Track : Half Awake |  Artist : Concrete Castles
Track : England Screams |  Artist : Strange Bones
Track : btw! i adore u |  Artist : Superlove
Track : Are You Ok? |  Artist : NEFFEX
Track : Feel Real Pretty |  Artist : Paper Idol
Track : My Eyes |  Artist : The Anix
Track : Eyelids |  Artist : Saro
Track : Monsters |  Artist : Foreign Air
Track : Real Friends, Fake Friends |  Artist : Marlo The Barbarian
Track : PATCHWERK (with Two Feet) |  Artist : Sub Urban
Track : Too Bizarre (with Swae Lee & Siiickbrain) |  Artist : Skrillex
Track : Last Resort & Spa |  Artist : Battle Tapes
Track : Heavy (feat. blackbear) |  Artist : MOD SUN
Track : Wolves |  Artist : MISSIO
Track : Take Me Instead |  Artist : Zero 9:36
Track : Solitude |  Artist : JXN
Track : When We Were Young |  Artist : Flawes
Track : Breakdown |  Artist : Kayzo
Track : Magic |  Artist : Half the Animal
Track : Rich Girl |  Artist : Soulex
Track : fall apart (with glaive) |  Artist : renforshort
Track : Fuck You |  Artist : Silent Child
Track : One Night |  Artist : Jeris Johnson
Track : Use Me (feat. 070 Shake) |  Artist : PVRIS
Track : Palm Reader |  Artist : DREAMERS
Track : MoneyOnMyMind |  Artist : UPSAHL
Track : Our House (The Mess We Made) |  Artist : You Me At Six
Track : Bones |  Artist : MOD SUN
Track : That Bitch |  Artist : Sizzy Rocket
Track : Bipolar Rhapsody |  Artist : KID BRUNSWICK
Track : Oh No!!! |  Artist : grandson

Track : On The Luna |  Artist : Foals
Track : Devil's Spoke |  Artist : Laura Marling
Track : Pretty Pimpin |  Artist : Kurt Vile
Track : Berlin Got Blurry |  Artist : Parquet Courts
Track : We Used to Wait |  Artist : Arcade Fire
Track : Ready to Start |  Artist : Arcade Fire
Track : Blue Moon |  Artist : Beck
Track : Boys In the Better Land |  Artist : Fontaines D.C.
Track : Default |  Artist : Django Django
Track : Avant Gardener |  Artist : Courtney Barnett
Track : Press Enter To Exit |  Artist : The Horrors
Track : Stylo (feat. Mos Def and Bobby Womack) |  Artist : Gorillaz
Track : Breezeblocks |  Artist : alt-J
Track : The High Road |  Artist : Broken Bells
Track : The Runner |  Artist : Foals
Track : Everything Now |  Artist : Arcade Fire
Track : Life Itself |  Artist : Glass Animals
Track : Holy City |  Artist : Joan As Police Woman
Track : Concrete |  Artist : shame
Track : One Rizla |  Artist : shame
Track : The Beigeness |  Artist : Kate Tempest
Track : Husbands |  Artist : Savages
Track : Fill in the Blank |  Artist : Car Seat Headrest
Track : Distant Past |  Artist : Everything Everything
Track : Wait in the Car |  Artist : The Breeders
Track : Pedestrian at Best |  Artist : Courtney Barnett
Track : AKA... What A Life! |  Artist : Noel Gallagher's High Flying Birds
Track : Mesmerise |  Artist : Temples
Track : Red Eyes |  Artist : The War On Drugs
